"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Dubey A.; Dubey A.","Dubey, Anuranjan (58527249200); Dubey, Abhinandan (57195935017)","58527249200; 57195935017","Cost Efficient Defect Detection in Bangle Industry Using Transfer Learning","2023","Communications in Computer and Information Science","1776 CCIS","","","181","194","13","0","10.1007/978-3-031-31407-0_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167328553&doi=10.1007%2f978-3-031-31407-0_14&partnerID=40&md5=7a511d65e0b9370b02ebcfd2c2489829","Conference paper","Final","","Scopus","2-s2.0-85167328553"
"Kızılelmas F.","Kızılelmas, Fatma (58915464900)","58915464900","Labor exploitation, discrimination and coping tactics of male forced migrants in Türkiye","2023","Asian and Pacific Migration Journal","32","4","","725","748","23","0","10.1177/01171968241231592","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186415158&doi=10.1177%2f01171968241231592&partnerID=40&md5=b70d8545bca2d58df113bb21ebc1bb23","Article","Final","","Scopus","2-s2.0-85186415158"
"Vo T.; Purkayastha B.","Vo, Timothea (57215044656); Purkayastha, Bandana (6603016973)","57215044656; 6603016973","Global Health Care Experiences of Female Survivors Who Experienced Trafficking: A Meta-Ethnography","2023","Journal of Midwifery and Women's Health","68","2","","221","232","11","0","10.1111/jmwh.13449","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146059211&doi=10.1111%2fjmwh.13449&partnerID=40&md5=13530279055ec5af4ab7220a7671a677","Review","Final","","Scopus","2-s2.0-85146059211"
"Ajefu J.B.; Massacky F.","Ajefu, Joseph B. (57196469000); Massacky, Falecia (58583695700)","57196469000; 58583695700","Mobile money, child labour and school enrolment","2023","Telecommunications Policy","47","10","102648","","","","3","10.1016/j.telpol.2023.102648","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171373011&doi=10.1016%2fj.telpol.2023.102648&partnerID=40&md5=5b5cb015af0b0406c56b40f30a93570d","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85171373011"
"Man F.","Man, Fuat (56005204200)","56005204200","Muckraking Through the Novel: Upton Sinclair's the Jungle and the Early History of Human Resources Management","2024","Organizacija","57","1","","99","112","13","0","10.2478/orga-2024-0007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186919381&doi=10.2478%2forga-2024-0007&partnerID=40&md5=501b155354234b25f37e58ec5afc17ef","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85186919381"
"Pérez-Iglesias L.R.; Rodríguez-Bruzón Y.","Pérez-Iglesias, Lourdes Del Rosario (58642762000); Rodríguez-Bruzón, Yosbani (58643235300)","58642762000; 58643235300","FAUNA-DEPENDENT FEEDING IN EARLY HISPANIC-INDIGENOUS INTERACTION SITES IN NORTHEASTERN CUBA AND ITS CONNECTION WITH COLONIZATION PROCESSES; [ALIMENTAÇÃO DEPENDENTE DA FAUNA EM LOCAIS DE INTERAÇÃO HISPANO-INDÍGENA INICIAL NO NORDESTE DE CUBA E SUA RELAÇÃO COM OS PROCESSOS DA COLONIZAÇÃO]; [ALIMENTACIÓN DEPENDIENTE DE LA FAUNA EN SITIOS DE INTERACCIÓN HISPANO-INDÍGENA TEMPRANA EN EL NORORIENTE DE CUBA Y SU CONEXIÓN CON LOS PROCESOS DE COLONIZACIÓN]","2023","Revista de Arqueologia","36","3","","57","80","23","0","10.24885/sab.v36i3.1045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173912923&doi=10.24885%2fsab.v36i3.1045&partnerID=40&md5=d7d2d432b87a558bc735322fb37c9e8d","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85173912923"
"Alzoubi Y.; Locatelli G.; Sainati T.","Alzoubi, Yazan (58085216200); Locatelli, Giorgio (57210769700); Sainati, Tristano (56527436400)","58085216200; 57210769700; 56527436400","Turning a Blind Eye: Ignoring Modern Slavery in the Race to Construction Project Completion","2024","Journal of Construction Engineering and Management","150","10","04024136","","","","0","10.1061/JCEMD4.COENG-14653","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200680556&doi=10.1061%2fJCEMD4.COENG-14653&partnerID=40&md5=488497c190028cb86d379498fcab2c4c","Article","Final","","Scopus","2-s2.0-85200680556"
"Abbatecola E.; Filippi D.","Abbatecola, Emanuela (54998020100); Filippi, Davide (56982872800)","54998020100; 56982872800","Intersectional regimes of precariousness. Notes on the margins of a qualitative research on the severe exploitation of migrant labour in Liguria; [Regimi intersezionali di precarietà. Note a margine di una ricerca qualitativa sul grave sfruttamento del lavoro migrante in Liguria]","2024","Sociologia del Lavoro","","169","","173","191","18","0","10.3280/SL2024-169009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209198699&doi=10.3280%2fSL2024-169009&partnerID=40&md5=d114304bd9c6f3761a5989fd96b1545c","Article","Final","","Scopus","2-s2.0-85209198699"
"Ahmed M.H.; Tesfaye W.M.E.S.F.I.N.; Dietrich S.; Gassmann F.","Ahmed, Musa Hasen (57189584342); Tesfaye, Wondimagegn MESFIN (57190026529); Dietrich, Stephan (57194002858); Gassmann, Franziska (24466546300)","57189584342; 57190026529; 57194002858; 24466546300","Rural Roads, Child Labor, and Schooling in Rural Ethiopia","2024","Journal of Development Studies","60","11","","1675","1690","15","0","10.1080/00220388.2024.2383397","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200108450&doi=10.1080%2f00220388.2024.2383397&partnerID=40&md5=ff08a88317c17d1ef2e66b0b67ee6a73","Article","Final","","Scopus","2-s2.0-85200108450"
"Abdullah I.","Abdullah, Ibrahim (6701591494)","6701591494","Child Labour and Capitalist Social Engineering in Africa: Divorcing Society from the Means of Production","2023","Notebooks: The Journal for Studies on Power","2","2","","139","169","30","0","10.1163/26667185-bja10039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179035513&doi=10.1163%2f26667185-bja10039&partnerID=40&md5=b94c7ee59fa2a426df2b57a484e7c3d3","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85179035513"
"Vařeka P.","Vařeka, Pavel (41862850100)","41862850100","Preservation and heritage protection of the archaeological remains of prison and forced labour camps from the period of Nazi occupation and the Communist era in West Bohemia","2024","Internet Archaeology","","66","","","","","2","10.11141/ia.66.17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189349662&doi=10.11141%2fia.66.17&partnerID=40&md5=0efadcd653e48e4f3599909a092e0153","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85189349662"
"Finkenbinder D.; Nicholas D.; Sanders J.; Valinski C.","Finkenbinder, Dillon (59161691800); Nicholas, Donovan (59160749000); Sanders, John (59161533100); Valinski, Cassidy (59161691900)","59161691800; 59160749000; 59161533100; 59161691900","Exploring the Ethical Dimensions of Engineering Processes for Solar Energy Production","2024","2024 Systems and Information Engineering Design Symposium, SIEDS 2024","","","","307","312","5","0","10.1109/SIEDS61124.2024.10534657","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195267556&doi=10.1109%2fSIEDS61124.2024.10534657&partnerID=40&md5=ae66edcf678715d239baa957e73a5769","Conference paper","Final","","Scopus","2-s2.0-85195267556"
"Barth S.","Barth, Susanne (59248047000)","59248047000","‘Saviours’, ‘Business Partners’, or ‘Snobs’? How Jewish Inmates Perceived and Interacted with British Prisoners of War in the Nazi Camp Complex Blechhammer (Upper Silesia)","2024","European History Quarterly","54","3","","445","466","21","0","10.1177/02656914241260590","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200465545&doi=10.1177%2f02656914241260590&partnerID=40&md5=b984e034e3782717b1a31e8a9d5cf655","Article","Final","","Scopus","2-s2.0-85200465545"
"Offia F.O.","Offia, Favour Ogbugo (57226081281)","57226081281","Exploring the Links Between Racial Exclusion and Human Trafficking of Migrant Workers in Qatar","2024","Social and Legal Studies","33","6","","927","950","23","0","10.1177/09646639231214725","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177213676&doi=10.1177%2f09646639231214725&partnerID=40&md5=e61dc2aef057091e6575a6ba2c3a2028","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85177213676"
"Eustace A.","Eustace, Alan (57302789900)","57302789900","The European Union's forced labour regulation: Putting the ‘brussels effect’ to work for international labour standards","2024","European Labour Law Journal","15","1","","144","165","21","1","10.1177/20319525231221097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180186203&doi=10.1177%2f20319525231221097&partnerID=40&md5=1f3f23780df4b95c8a71ebb6bd997411","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85180186203"
"Skrukwa G.","Skrukwa, Grzegorz (57191155882)","57191155882","BETWEEN A RELIC OF THE PAST AND A SOCIALIST DUTY: CHILD AND ADOLESCENT LABOUR IN ‘COMMUNIST POLAND’ IN THE LIGHT OF LITERARY FICTION FOR YOUNG PEOPLE (1948–1980)","2023","Studia Historiae Oeconomicae","41","2","","127","144","17","0","10.14746/sho.2023.41.2.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197753011&doi=10.14746%2fsho.2023.41.2.007&partnerID=40&md5=d6079b4bfb24598f81ab65464c795536","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85197753011"
"García D.; Menegaz A.","García, Daniela (59316510500); Menegaz, Adriana (58920816200)","59316510500; 58920816200","Child labor and public policies. A training experience for situated territorial management; [Trabajo infantil y políticas públicas. Una experiencia de formación para la gestión territorial situada]","2024","Mundo Agrario","25","59","e243","","","","0","10.24215/15155994e243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203236271&doi=10.24215%2f15155994e243&partnerID=40&md5=9aa06e1419c90e5e85d266962e56f678","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85203236271"
"Scharmer V.M.; Vernim S.; Horsthofer-Rauch J.; Jordan P.; Maier M.; Paul M.; Schneider D.; Woerle M.; Schulz J.; Zaeh M.F.","Scharmer, Valerie M. (57200091536); Vernim, Susanne (57192645919); Horsthofer-Rauch, Julia (57280581500); Jordan, Patrick (58479631900); Maier, Maria (57220090897); Paul, Magdalena (57211200929); Schneider, Daniel (57220191229); Woerle, Markus (58805200000); Schulz, Julia (57200091828); Zaeh, Michael F. (14016941300)","57200091536; 57192645919; 57280581500; 58479631900; 57220090897; 57211200929; 57220191229; 58805200000; 57200091828; 14016941300","Sustainable Manufacturing: A Review and Framework Derivation","2024","Sustainability (Switzerland)","16","1","119","","","","2","10.3390/su16010119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181950860&doi=10.3390%2fsu16010119&partnerID=40&md5=0119b29ffa664747e273decea7b9281a","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85181950860"
"Bhattacharjee S.S.","Bhattacharjee, Shikha Silliman (57189920765)","57189920765","BITTER HARVEST: SUPPLY CHAIN OPPRESSION AND THE LEGAL EXCLUSION OF AGRICULTURAL WORKERS","2023","University of Illinois Law Review","2023","4","","1337","1388","51","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175491272&partnerID=40&md5=bced9e0bc5906e5f1795b7248c488ab5","Article","Final","","Scopus","2-s2.0-85175491272"
"Batagol B.; Seear K.; Askola H.; Walvisch J.","Batagol, Becky (59255004400); Seear, Kate (27667831500); Askola, Heli (36198079600); Walvisch, Jamie (36054006700)","59255004400; 27667831500; 36198079600; 36054006700","The Feminist Legislation Project: Rewriting Laws for Gender-Based Justice","2024","The Feminist Legislation Project: Rewriting Laws for Gender-Based Justice","","","","1","360","359","0","10.4324/9781003372462","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207862966&doi=10.4324%2f9781003372462&partnerID=40&md5=4449fc70e405a2f041536cafc142a4a0","Book","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85207862966"
"Oliver B.J.; De Lisio A.","Oliver, Benton J. (58621611200); De Lisio, Amanda (56330247900)","58621611200; 56330247900","Rights, not rescue: trafficking (in)securities at the sport mega-event","2023","Frontiers in Sports and Active Living","5","","1207595","","","","0","10.3389/fspor.2023.1207595","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172466419&doi=10.3389%2ffspor.2023.1207595&partnerID=40&md5=6830a5458ff4806fe2d42471ee984167","Short survey","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85172466419"
"Pesterfield C.; Rogerson M.","Pesterfield, Christopher (57222221007); Rogerson, Michael (57216879495)","57222221007; 57216879495","Institutional Logics in the UK Construction Industry’s Response to Modern Slavery Risk: Complementarity and Conflict","2024","Journal of Business Ethics","191","1","","59","75","16","1","10.1007/s10551-023-05455-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161268507&doi=10.1007%2fs10551-023-05455-4&partnerID=40&md5=db439f099d7a871fcef858c98557b6c7","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85161268507"
"Loreau S.; Stephan A.; Cooper D.","Loreau, Sébastien (58074944600); Stephan, André (54791479300); Cooper, Daniel (55360969100)","58074944600; 54791479300; 55360969100","Towards more circular building services: A social footprint of the sectors manufacturing and remanufacturing chillers for the European market","2024","International Journal of Life Cycle Assessment","","","","","","","0","10.1007/s11367-024-02377-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205813932&doi=10.1007%2fs11367-024-02377-9&partnerID=40&md5=f9408274281907f79f9a16c0a8924420","Article","Article in press","","Scopus","2-s2.0-85205813932"
"Mao Y.; Wang J.J.","Mao, Yifei (57218883281); Wang, Jessie Jiaxu (57193687294)","57218883281; 57193687294","Access to Finance and Technological Innovation: Evidence from Pre-Civil War America","2023","Journal of Financial and Quantitative Analysis","58","5","","1973","2023","50","4","10.1017/S0022109022000795","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135453665&doi=10.1017%2fS0022109022000795&partnerID=40&md5=09324508c0764e68a55af7047bb2e85a","Article","Final","","Scopus","2-s2.0-85135453665"
"Cunha M.P.; Clegg S.; Rego A.; Berti M.","Cunha, Miguel Pina e (35615561300); Clegg, Stewart (7101683003); Rego, Arménio (35609260000); Berti, Marco (57194154687)","35615561300; 7101683003; 35609260000; 57194154687","The paradox of the peasantry in management and organization studies","2023","International Journal of Organizational Analysis","31","5","","1802","1813","11","3","10.1108/IJOA-08-2021-2921","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121445437&doi=10.1108%2fIJOA-08-2021-2921&partnerID=40&md5=18b0690aa6360112db6bdbed597d2cad","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85121445437"
"Revilla Orías P.","Revilla Orías, Paola (57214888876)","57214888876","GUARDIANSHIP, PATERNALISM AND COERCION AT THE CROSSROADS OF INDIGENOUS LABOR: AN APPROACH TO THE CHIRIGUANO EXPERIENCE IN CHARCAS (16TH-18TH CENTURIES); [TUTELA, PATERNALISMO Y COERCIÓN EN LA ENCRUCIJADA DE LA EXPERIENCIA LABORAL INDÍGENA: ACERCAMIENTO AL CASO CHIRIGUANO EN CHARCAS (SIGLOS XVI-XVII)]","2024","Revista de Humanidades","","50","","269","296","27","0","10.53382/issn.2452-445X.836","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203465242&doi=10.53382%2fissn.2452-445X.836&partnerID=40&md5=145c23b12b45c76cd3ae471f0f34caca","Article","Final","","Scopus","2-s2.0-85203465242"
"Quayson M.; Bai C.; Sarkis J.; Hossin M.A.","Quayson, Matthew (57217680378); Bai, Chunguang (24485581400); Sarkis, Joseph (57194726123); Hossin, Md Altab (57202841195)","57217680378; 24485581400; 57194726123; 57202841195","Evaluating barriers to blockchain technology for sustainable agricultural supply chain: A fuzzy hierarchical group DEMATEL approach","2024","Operations Management Research","17","2","","728","753","25","2","10.1007/s12063-024-00443-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187444276&doi=10.1007%2fs12063-024-00443-x&partnerID=40&md5=c18c39513be23a0ba0f7c48287c5761e","Article","Final","","Scopus","2-s2.0-85187444276"
"Krasilnikov S.A.","Krasilnikov, Sergey A. (57190753523)","57190753523","THE ESTABLISHMENT OF SOVIET “SHARASHKAS” IN THE EARLY 1930S: REASONS, INSTITUTIONS, PERSONS; [СТАНОВЛЕНИЕ СОВЕТСКИХ «ШАРАШЕК» В НАЧАЛЕ 1930-х гг.: ПРИЧИНЫ, ИНСТИТУТЫ, ПЕРСОНЫ]","2023","Ural'skij Istoriceskij Vestnik","78","1","","74","83","9","0","10.30759/1728-9718-2023-1(78)-74-83","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168276980&doi=10.30759%2f1728-9718-2023-1%2878%29-74-83&partnerID=40&md5=0b3ede889fad28b9559adb54576b32b8","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85168276980"
"Kehya R.Ö.","Kehya, Rahime Özgün (58798219700)","58798219700","Immoral image of emigrant women: A distanced-marginalised self?","2024","Xenophobia in the Media: Critical Global Perspectives","","","","73","85","12","0","10.4324/9781003431855-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192333215&doi=10.4324%2f9781003431855-7&partnerID=40&md5=31f150f88e0325bfebe0517121974d6a","Book chapter","Final","","Scopus","2-s2.0-85192333215"
"Pinnington B.; Meehan J.","Pinnington, Bruce (35088849900); Meehan, Joanne (24177110500)","35088849900; 24177110500","Learning to see modern slavery in supply chains through paradoxical sensemaking","2023","Journal of Supply Chain Management","59","4","","22","41","19","10","10.1111/jscm.12309","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170711904&doi=10.1111%2fjscm.12309&partnerID=40&md5=9a7868536038dfc6698de8d60f8ac238","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85170711904"
"Murray A.; Bradshaw A.","Murray, Andrew (58910730700); Bradshaw, Alan (13105365300)","58910730700; 13105365300","Could commodities themselves speak? An introduction to the agnotology of the spectacle","2024","Environment and Planning D: Society and Space","42","2","","275","293","18","1","10.1177/02637758241227243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186193993&doi=10.1177%2f02637758241227243&partnerID=40&md5=2f975ec5290026541bb6d4454d661ab0","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85186193993"
"Bhukuth A.","Bhukuth, Augendra (8723526400)","8723526400","The «great experiment» of cheap labor in Mauritius: a historical perspective","2024","Labor History","","","","","","","0","10.1080/0023656X.2024.2419649","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207281283&doi=10.1080%2f0023656X.2024.2419649&partnerID=40&md5=60048850ae868506590ec1c1c6657efe","Article","Article in press","","Scopus","2-s2.0-85207281283"
"Dragoman R.-A.; Oanţă-Marghitu S.; Nicolae C.I.; Florea M.","Dragoman, Radu-Alexandru (57203685286); Oanţă-Marghitu, Sorin (26038635400); Nicolae, Cătălin I. (57204924825); Florea, Mihai (55774640100)","57203685286; 26038635400; 57204924825; 55774640100","Archaeological excavations in the former communist forced-labour camp from Peninsula, the Danube – Black Sea canal; [CERCETĂRI ARHEOLOGICE ÎN FOSTA COLONIE DE MUNCĂ FORŢATĂ DIN PERIOADA COMUNISTĂ DE LA PENINSULA, CANALUL DUNĂRE ‒ MAREA NEAGRĂ]","2023","Materiale si Cercetari Arheologice","19","2023","","217","244","27","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184391838&partnerID=40&md5=7cab8aebae0ee560acca3b93d2fe6967","Article","Final","","Scopus","2-s2.0-85184391838"
"Kranrattanasuit N.","Kranrattanasuit, Naparat (57194589087)","57194589087","Utilising the communication for development approach to prevent online child trafficking in Thailand","2024","Humanities and Social Sciences Communications","11","1","","","","","0","10.1057/s41599-024-02614-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184162148&doi=10.1057%2fs41599-024-02614-4&partnerID=40&md5=cfec9ca22ae5e2485fed2d2c4241c4de","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85184162148"
"Shliakhtych R.","Shliakhtych, Roman (59359216100)","59359216100","JEWISH FORCED-LABOR CAMPS ALONG THE ROAD KRYVYI RIH – DNIPRO (DNIPROPETROVSK) (BASED ON ORAL HISTORY SOURCES)","2024","Eminak","47","3","","411","427","16","0","10.33782/eminak2024.3(47).747","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208108684&doi=10.33782%2feminak2024.3%2847%29.747&partnerID=40&md5=30104f10ad909567e6c9aceb809c477c","Article","Final","","Scopus","2-s2.0-85208108684"
"Kunz N.; Chesney T.; Trautrims A.; Gold S.","Kunz, Nathan (57021455300); Chesney, Thomas (23491520600); Trautrims, Alexander (55439938200); Gold, Stefan (7202072222)","57021455300; 23491520600; 55439938200; 7202072222","Adoption and transferability of joint interventions to fight modern slavery in food supply chains","2023","International Journal of Production Economics","258","","108809","","","","11","10.1016/j.ijpe.2023.108809","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149181993&doi=10.1016%2fj.ijpe.2023.108809&partnerID=40&md5=49ce372aa465f98333192e7c8e0917f1","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85149181993"
"Huggins C.R.K.","Huggins, Coco R. K. (57222208073)","57222208073","Constructing the geographical imagination: the Dickensian as a discourse; [La construction de l’imagination géographique : le dickensien en tant que discours]; [La construcción de la imaginación geográfica: lo dickensianocomo discurso]","2024","Social and Cultural Geography","","","","","","","0","10.1080/14649365.2024.2403099","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204541305&doi=10.1080%2f14649365.2024.2403099&partnerID=40&md5=b4ede05421e74aacef85c3a1a0e3195f","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85204541305"
"La N.M.; Dinh T.H.; Pham T.T.","La, Ngoc Minh (57807719900); Dinh, Trong Hung (57221043809); Pham, Thi Tuyet (58613871700)","57807719900; 57221043809; 58613871700","An Overview of the Legislation on Sustainability and Strategy Accessing the Sustainability Performance of Road Construction Projects in Vietnam","2024","Lecture Notes in Civil Engineering","344 LNCE","","","141","150","9","1","10.1007/978-981-99-2345-8_13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171973006&doi=10.1007%2f978-981-99-2345-8_13&partnerID=40&md5=d65535c18ed02568da63f615b1ee0a73","Conference paper","Final","","Scopus","2-s2.0-85171973006"
