,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
16,Alzoubi Y.; Locatelli G.; Sainati T.,"Alzoubi, Yazan (58085216200); Locatelli, Giorgio (57210769700); Sainati, Tristano (56527436400)",58085216200; 57210769700; 56527436400,Turning a Blind Eye: Ignoring Modern Slavery in the Race to Construction Project Completion,2024,Journal of Construction Engineering and Management,150,10,04024136,,,,0,10.1061/JCEMD4.COENG-14653,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200680556&doi=10.1061%2fJCEMD4.COENG-14653&partnerID=40&md5=488497c190028cb86d379498fcab2c4c,Article,Final,,Scopus,2-s2.0-85200680556
17,Abbatecola E.; Filippi D.,"Abbatecola, Emanuela (54998020100); Filippi, Davide (56982872800)",54998020100; 56982872800,Intersectional regimes of precariousness. Notes on the margins of a qualitative research on the severe exploitation of migrant labour in Liguria; [Regimi intersezionali di precarietà. Note a margine di una ricerca qualitativa sul grave sfruttamento del lavoro migrante in Liguria],2024,Sociologia del Lavoro,,169,,173,191,18.0,0,10.3280/SL2024-169009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209198699&doi=10.3280%2fSL2024-169009&partnerID=40&md5=d114304bd9c6f3761a5989fd96b1545c,Article,Final,,Scopus,2-s2.0-85209198699
18,Ahmed M.H.; Tesfaye W.M.E.S.F.I.N.; Dietrich S.; Gassmann F.,"Ahmed, Musa Hasen (57189584342); Tesfaye, Wondimagegn MESFIN (57190026529); Dietrich, Stephan (57194002858); Gassmann, Franziska (24466546300)",57189584342; 57190026529; 57194002858; 24466546300,"Rural Roads, Child Labor, and Schooling in Rural Ethiopia",2024,Journal of Development Studies,60,11,,1675,1690,15.0,0,10.1080/00220388.2024.2383397,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200108450&doi=10.1080%2f00220388.2024.2383397&partnerID=40&md5=ff08a88317c17d1ef2e66b0b67ee6a73,Article,Final,,Scopus,2-s2.0-85200108450
19,Abdullah I.,"Abdullah, Ibrahim (6701591494)",6701591494,Child Labour and Capitalist Social Engineering in Africa: Divorcing Society from the Means of Production,2023,Notebooks: The Journal for Studies on Power,2,2,,139,169,30.0,0,10.1163/26667185-bja10039,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179035513&doi=10.1163%2f26667185-bja10039&partnerID=40&md5=b94c7ee59fa2a426df2b57a484e7c3d3,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85179035513
20,Vařeka P.,"Vařeka, Pavel (41862850100)",41862850100,Preservation and heritage protection of the archaeological remains of prison and forced labour camps from the period of Nazi occupation and the Communist era in West Bohemia,2024,Internet Archaeology,,66,,,,,2,10.11141/ia.66.17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189349662&doi=10.11141%2fia.66.17&partnerID=40&md5=0efadcd653e48e4f3599909a092e0153,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85189349662
22,Barth S.,"Barth, Susanne (59248047000)",59248047000,"‘Saviours’, ‘Business Partners’, or ‘Snobs’? How Jewish Inmates Perceived and Interacted with British Prisoners of War in the Nazi Camp Complex Blechhammer (Upper Silesia)",2024,European History Quarterly,54,3,,445,466,21.0,0,10.1177/02656914241260590,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200465545&doi=10.1177%2f02656914241260590&partnerID=40&md5=b984e034e3782717b1a31e8a9d5cf655,Article,Final,,Scopus,2-s2.0-85200465545
23,Offia F.O.,"Offia, Favour Ogbugo (57226081281)",57226081281,Exploring the Links Between Racial Exclusion and Human Trafficking of Migrant Workers in Qatar,2024,Social and Legal Studies,33,6,,927,950,23.0,0,10.1177/09646639231214725,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177213676&doi=10.1177%2f09646639231214725&partnerID=40&md5=e61dc2aef057091e6575a6ba2c3a2028,Review,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85177213676
24,Eustace A.,"Eustace, Alan (57302789900)",57302789900,The European Union's forced labour regulation: Putting the ‘brussels effect’ to work for international labour standards,2024,European Labour Law Journal,15,1,,144,165,21.0,1,10.1177/20319525231221097,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180186203&doi=10.1177%2f20319525231221097&partnerID=40&md5=1f3f23780df4b95c8a71ebb6bd997411,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85180186203
25,Skrukwa G.,"Skrukwa, Grzegorz (57191155882)",57191155882,BETWEEN A RELIC OF THE PAST AND A SOCIALIST DUTY: CHILD AND ADOLESCENT LABOUR IN ‘COMMUNIST POLAND’ IN THE LIGHT OF LITERARY FICTION FOR YOUNG PEOPLE (1948–1980),2023,Studia Historiae Oeconomicae,41,2,,127,144,17.0,0,10.14746/sho.2023.41.2.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197753011&doi=10.14746%2fsho.2023.41.2.007&partnerID=40&md5=d6079b4bfb24598f81ab65464c795536,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85197753011
26,García D.; Menegaz A.,"García, Daniela (59316510500); Menegaz, Adriana (58920816200)",59316510500; 58920816200,Child labor and public policies. A training experience for situated territorial management; [Trabajo infantil y políticas públicas. Una experiencia de formación para la gestión territorial situada],2024,Mundo Agrario,25,59,e243,,,,0,10.24215/15155994e243,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203236271&doi=10.24215%2f15155994e243&partnerID=40&md5=9aa06e1419c90e5e85d266962e56f678,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85203236271
27,Scharmer V.M.; Vernim S.; Horsthofer-Rauch J.; Jordan P.; Maier M.; Paul M.; Schneider D.; Woerle M.; Schulz J.; Zaeh M.F.,"Scharmer, Valerie M. (57200091536); Vernim, Susanne (57192645919); Horsthofer-Rauch, Julia (57280581500); Jordan, Patrick (58479631900); Maier, Maria (57220090897); Paul, Magdalena (57211200929); Schneider, Daniel (57220191229); Woerle, Markus (58805200000); Schulz, Julia (57200091828); Zaeh, Michael F. (14016941300)",57200091536; 57192645919; 57280581500; 58479631900; 57220090897; 57211200929; 57220191229; 58805200000; 57200091828; 14016941300,Sustainable Manufacturing: A Review and Framework Derivation,2024,Sustainability (Switzerland),16,1,119,,,,2,10.3390/su16010119,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181950860&doi=10.3390%2fsu16010119&partnerID=40&md5=0119b29ffa664747e273decea7b9281a,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85181950860
28,Bhattacharjee S.S.,"Bhattacharjee, Shikha Silliman (57189920765)",57189920765,BITTER HARVEST: SUPPLY CHAIN OPPRESSION AND THE LEGAL EXCLUSION OF AGRICULTURAL WORKERS,2023,University of Illinois Law Review,2023,4,,1337,1388,51.0,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175491272&partnerID=40&md5=bced9e0bc5906e5f1795b7248c488ab5,Article,Final,,Scopus,2-s2.0-85175491272
31,Pesterfield C.; Rogerson M.,"Pesterfield, Christopher (57222221007); Rogerson, Michael (57216879495)",57222221007; 57216879495,Institutional Logics in the UK Construction Industry’s Response to Modern Slavery Risk: Complementarity and Conflict,2024,Journal of Business Ethics,191,1,,59,75,16.0,1,10.1007/s10551-023-05455-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161268507&doi=10.1007%2fs10551-023-05455-4&partnerID=40&md5=db439f099d7a871fcef858c98557b6c7,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85161268507
32,Loreau S.; Stephan A.; Cooper D.,"Loreau, Sébastien (58074944600); Stephan, André (54791479300); Cooper, Daniel (55360969100)",58074944600; 54791479300; 55360969100,Towards more circular building services: A social footprint of the sectors manufacturing and remanufacturing chillers for the European market,2024,International Journal of Life Cycle Assessment,,,,,,,0,10.1007/s11367-024-02377-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205813932&doi=10.1007%2fs11367-024-02377-9&partnerID=40&md5=f9408274281907f79f9a16c0a8924420,Article,Article in press,,Scopus,2-s2.0-85205813932
33,Mao Y.; Wang J.J.,"Mao, Yifei (57218883281); Wang, Jessie Jiaxu (57193687294)",57218883281; 57193687294,Access to Finance and Technological Innovation: Evidence from Pre-Civil War America,2023,Journal of Financial and Quantitative Analysis,58,5,,1973,2023,50.0,4,10.1017/S0022109022000795,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135453665&doi=10.1017%2fS0022109022000795&partnerID=40&md5=09324508c0764e68a55af7047bb2e85a,Article,Final,,Scopus,2-s2.0-85135453665
34,Cunha M.P.; Clegg S.; Rego A.; Berti M.,"Cunha, Miguel Pina e (35615561300); Clegg, Stewart (7101683003); Rego, Arménio (35609260000); Berti, Marco (57194154687)",35615561300; 7101683003; 35609260000; 57194154687,The paradox of the peasantry in management and organization studies,2023,International Journal of Organizational Analysis,31,5,,1802,1813,11.0,3,10.1108/IJOA-08-2021-2921,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121445437&doi=10.1108%2fIJOA-08-2021-2921&partnerID=40&md5=18b0690aa6360112db6bdbed597d2cad,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85121445437
35,Revilla Orías P.,"Revilla Orías, Paola (57214888876)",57214888876,"GUARDIANSHIP, PATERNALISM AND COERCION AT THE CROSSROADS OF INDIGENOUS LABOR: AN APPROACH TO THE CHIRIGUANO EXPERIENCE IN CHARCAS (16TH-18TH CENTURIES); [TUTELA, PATERNALISMO Y COERCIÓN EN LA ENCRUCIJADA DE LA EXPERIENCIA LABORAL INDÍGENA: ACERCAMIENTO AL CASO CHIRIGUANO EN CHARCAS (SIGLOS XVI-XVII)]",2024,Revista de Humanidades,,50,,269,296,27.0,0,10.53382/issn.2452-445X.836,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203465242&doi=10.53382%2fissn.2452-445X.836&partnerID=40&md5=145c23b12b45c76cd3ae471f0f34caca,Article,Final,,Scopus,2-s2.0-85203465242
36,Quayson M.; Bai C.; Sarkis J.; Hossin M.A.,"Quayson, Matthew (57217680378); Bai, Chunguang (24485581400); Sarkis, Joseph (57194726123); Hossin, Md Altab (57202841195)",57217680378; 24485581400; 57194726123; 57202841195,Evaluating barriers to blockchain technology for sustainable agricultural supply chain: A fuzzy hierarchical group DEMATEL approach,2024,Operations Management Research,17,2,,728,753,25.0,2,10.1007/s12063-024-00443-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187444276&doi=10.1007%2fs12063-024-00443-x&partnerID=40&md5=c18c39513be23a0ba0f7c48287c5761e,Article,Final,,Scopus,2-s2.0-85187444276
37,Krasilnikov S.A.,"Krasilnikov, Sergey A. (57190753523)",57190753523,"THE ESTABLISHMENT OF SOVIET “SHARASHKAS” IN THE EARLY 1930S: REASONS, INSTITUTIONS, PERSONS; [СТАНОВЛЕНИЕ СОВЕТСКИХ «ШАРАШЕК» В НАЧАЛЕ 1930-х гг.: ПРИЧИНЫ, ИНСТИТУТЫ, ПЕРСОНЫ]",2023,Ural'skij Istoriceskij Vestnik,78,1,,74,83,9.0,0,10.30759/1728-9718-2023-1(78)-74-83,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168276980&doi=10.30759%2f1728-9718-2023-1%2878%29-74-83&partnerID=40&md5=0b3ede889fad28b9559adb54576b32b8,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85168276980
39,Pinnington B.; Meehan J.,"Pinnington, Bruce (35088849900); Meehan, Joanne (24177110500)",35088849900; 24177110500,Learning to see modern slavery in supply chains through paradoxical sensemaking,2023,Journal of Supply Chain Management,59,4,,22,41,19.0,10,10.1111/jscm.12309,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170711904&doi=10.1111%2fjscm.12309&partnerID=40&md5=9a7868536038dfc6698de8d60f8ac238,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85170711904
40,Murray A.; Bradshaw A.,"Murray, Andrew (58910730700); Bradshaw, Alan (13105365300)",58910730700; 13105365300,Could commodities themselves speak? An introduction to the agnotology of the spectacle,2024,Environment and Planning D: Society and Space,42,2,,275,293,18.0,1,10.1177/02637758241227243,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186193993&doi=10.1177%2f02637758241227243&partnerID=40&md5=2f975ec5290026541bb6d4454d661ab0,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85186193993
41,Bhukuth A.,"Bhukuth, Augendra (8723526400)",8723526400,The «great experiment» of cheap labor in Mauritius: a historical perspective,2024,Labor History,,,,,,,0,10.1080/0023656X.2024.2419649,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207281283&doi=10.1080%2f0023656X.2024.2419649&partnerID=40&md5=60048850ae868506590ec1c1c6657efe,Article,Article in press,,Scopus,2-s2.0-85207281283
42,Dragoman R.-A.; Oanţă-Marghitu S.; Nicolae C.I.; Florea M.,"Dragoman, Radu-Alexandru (57203685286); Oanţă-Marghitu, Sorin (26038635400); Nicolae, Cătălin I. (57204924825); Florea, Mihai (55774640100)",57203685286; 26038635400; 57204924825; 55774640100,"Archaeological excavations in the former communist forced-labour camp from Peninsula, the Danube – Black Sea canal; [CERCETĂRI ARHEOLOGICE ÎN FOSTA COLONIE DE MUNCĂ FORŢATĂ DIN PERIOADA COMUNISTĂ DE LA PENINSULA, CANALUL DUNĂRE ‒ MAREA NEAGRĂ]",2023,Materiale si Cercetari Arheologice,19,2023,,217,244,27.0,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184391838&partnerID=40&md5=7cab8aebae0ee560acca3b93d2fe6967,Article,Final,,Scopus,2-s2.0-85184391838
43,Kranrattanasuit N.,"Kranrattanasuit, Naparat (57194589087)",57194589087,Utilising the communication for development approach to prevent online child trafficking in Thailand,2024,Humanities and Social Sciences Communications,11,1,,,,,0,10.1057/s41599-024-02614-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184162148&doi=10.1057%2fs41599-024-02614-4&partnerID=40&md5=cfec9ca22ae5e2485fed2d2c4241c4de,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85184162148
44,Shliakhtych R.,"Shliakhtych, Roman (59359216100)",59359216100,JEWISH FORCED-LABOR CAMPS ALONG THE ROAD KRYVYI RIH – DNIPRO (DNIPROPETROVSK) (BASED ON ORAL HISTORY SOURCES),2024,Eminak,47,3,,411,427,16.0,0,10.33782/eminak2024.3(47).747,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208108684&doi=10.33782%2feminak2024.3%2847%29.747&partnerID=40&md5=30104f10ad909567e6c9aceb809c477c,Article,Final,,Scopus,2-s2.0-85208108684
45,Kunz N.; Chesney T.; Trautrims A.; Gold S.,"Kunz, Nathan (57021455300); Chesney, Thomas (23491520600); Trautrims, Alexander (55439938200); Gold, Stefan (7202072222)",57021455300; 23491520600; 55439938200; 7202072222,Adoption and transferability of joint interventions to fight modern slavery in food supply chains,2023,International Journal of Production Economics,258,,108809,,,,11,10.1016/j.ijpe.2023.108809,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149181993&doi=10.1016%2fj.ijpe.2023.108809&partnerID=40&md5=49ce372aa465f98333192e7c8e0917f1,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85149181993
46,Huggins C.R.K.,"Huggins, Coco R. K. (57222208073)",57222208073,Constructing the geographical imagination: the Dickensian as a discourse; [La construction de l’imagination géographique : le dickensien en tant que discours]; [La construcción de la imaginación geográfica: lo dickensianocomo discurso],2024,Social and Cultural Geography,,,,,,,0,10.1080/14649365.2024.2403099,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204541305&doi=10.1080%2f14649365.2024.2403099&partnerID=40&md5=b4ede05421e74aacef85c3a1a0e3195f,Article,Article in press,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85204541305
48,Zadra F.; Elsen S.,"Zadra, Franca (57970473800); Elsen, Susanne (57189271538)",57970473800; 57189271538,Preventing and redressing exploitation. Methods of anti-trafficking social work outreach in Northern Italy; [Protezione sociale contro lo sfruttamento. Metodi dell'assistenza di prossimità nell'Italia settentrionale],2024,European Journal of Social Work,27,1,,151,164,13.0,1,10.1080/13691457.2022.2139665,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142142228&doi=10.1080%2f13691457.2022.2139665&partnerID=40&md5=fc78a92ecc22655000b5ac11f6cf8690,Article,Final,,Scopus,2-s2.0-85142142228
50,Ahad M.A.; Parry Y.K.; Willis E.; Ullah S.,"Ahad, Md. Abdul (57219088719); Parry, Yvonne Karen (55771978500); Willis, Eileen (57202492457); Ullah, Shahid (58521527700)",57219088719; 55771978500; 57202492457; 58521527700,Child Laborers’ Exposure to Neglect in Rural Bangladesh: Prevalence and Risk Factors,2024,Child Indicators Research,17,3,,1115,1135,20.0,0,10.1007/s12187-024-10129-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191399250&doi=10.1007%2fs12187-024-10129-2&partnerID=40&md5=4795c2f9addafb46b488a891c7933bf4,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85191399250
51,Schneider A.T.; Dias R.R.; Deprá M.C.; Dutra D.A.; Machado R.L.S.; de Menezes C.R.; Zepka L.Q.; Jacob-Lopes E.,"Schneider, Adriane Terezinha (58680149600); Dias, Rosangela Rodrigues (57202456693); Deprá, Mariany Costa (57197756212); Dutra, Darissa Alves (59216995000); Machado, Richard Luan Silva (59169022600); de Menezes, Cristiano Ragagnin (35738628900); Zepka, Leila Queiroz (14059294200); Jacob-Lopes, Eduardo (14058196000)",58680149600; 57202456693; 57197756212; 59216995000; 59169022600; 35738628900; 14059294200; 14058196000,The Intersectionality Between Amazon and Commodities Production: A Close Look at Sustainability,2024,Land,13,10,1708,,,,0,10.3390/land13101708,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207370776&doi=10.3390%2fland13101708&partnerID=40&md5=c816656de8bb4909903d9bd1466621bc,Article,Final,All Open Access,Scopus,2-s2.0-85207370776
53,Sarker S.I.; Bartok I.,"Sarker, Sadrul Islam (59352033800); Bartok, Istvan (58758894600)",59352033800; 58758894600,A Systematic Review of Green and Digital Transitional Factors in the Fashion Industry,2024,Business Systems Research,15,1,,1,21,20.0,1,10.2478/bsrj-2024-0001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205471534&doi=10.2478%2fbsrj-2024-0001&partnerID=40&md5=eaa0993cf7713673ebb10ad8d1f65439,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85205471534
55,Eke S.,"Eke, Surulola (55882638400)",55882638400,  Nahu-kparilim (cattle caretakership): understanding the persistence of unfree Fulani labour and the (non)violent renegotiation of power relations in agrarian economies in northern Ghana; [    Nahu-kparilim (gardiennage du bétail) : comprendre la persistance du travail fulani non libre et la renégociation (non)violente des relations de pouvoir dans les économies agraires du nord du Ghana],2023,Review of African Political Economy,50,175,,49,70,21.0,0,10.1080/03056244.2023.2192344,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167344675&doi=10.1080%2f03056244.2023.2192344&partnerID=40&md5=2c5ff340d56bed5c24d5cdf74101cd6f,Article,Final,,Scopus,2-s2.0-85167344675
56,Yang A.A.,"Yang, Anand A. (7203072207)",7203072207,The prison-handicraft complex: Convict labour in colonial India,2023,Modern Asian Studies,57,3,,808,834,26.0,3,10.1017/S0026749X22000324,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153535774&doi=10.1017%2fS0026749X22000324&partnerID=40&md5=fa220bb4371dbc87fb9c7f2e61bd1972,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85153535774
58,Singh P.; Kumar M.,"Singh, Paramjit (56579511000); Kumar, Mukesh (57214630229)",56579511000; 57214630229,How to differentiate peasant classes in capital-intensive agriculture?,2024,Journal of Agrarian Change,24,1,e12566,,,,0,10.1111/joac.12566,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172101761&doi=10.1111%2fjoac.12566&partnerID=40&md5=5436acfbbb3a286b81d82fedc4bb05fe,Article,Final,,Scopus,2-s2.0-85172101761
60,Trygub O.P.; Degtyarev S.I.; Parkhomenko V.A.,"Trygub, Oleksandr P. (57215006812); Degtyarev, Sergey I. (55975410500); Parkhomenko, Vladyslav A. (58484130300)",57215006812; 55975410500; 58484130300,The Development of Vocational-Technical Education in the Ukrainian Governorates of the Russian Empire in the Late 18th and Early 20th Centuries. Part 2,2023,European Journal of Contemporary Education,12,3,,1071,1081,10.0,4,10.13187/ejced.2023.3.1071,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173073685&doi=10.13187%2fejced.2023.3.1071&partnerID=40&md5=107bc58d4ae836890123ae84ab69d81b,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85173073685
62,Alzoubi Y.; Locatelli G.; Sainati T.,"Alzoubi, Yazan (58085216200); Locatelli, Giorgio (57210769700); Sainati, Tristano (56527436400)",58085216200; 57210769700; 56527436400,Modern Slavery in Projects: A Systematic Literature Review and Research Agenda,2023,Project Management Journal,54,3,,235,252,17.0,14,10.1177/87569728221148158,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147168862&doi=10.1177%2f87569728221148158&partnerID=40&md5=cba7f288beee3f5f7b6b2c39934921f9,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85147168862
