Title,Link,Citations,Year
Manufacturing bodies: A (re) description of the undocumented sweatshop worker in the United States.,N/A,0,2005
Supply chain social sustainability: Standard adoption practices in Portuguese manufacturing firms,https://www.researchgate.net/profile/Venkatesh-Mani/publication/323560553_Supply_chain_social_sustainability_Standard_adoption_practices_in_Portuguese_manufacturing_firms/data/5a9d8c410f7e9bc35fcfc035/IJPE-2018-Content-analysis-paper.pdf,151,2018
Child labor: A world history companion,N/A,108,1999
The struggle against sweatshops: Moving toward responsible global business,N/A,91,2006
"Changing Patterns of Child Labor around the World since 1950: The Roles of Income Growth, Parental Literacy and Agriculture Victoria Gunnarsson Peter F …",https://www.academia.edu/download/42110260/327410rev.pdf,0,2005
Child labor,http://indianet.nl/pdf/a080225.pdf,8,2008
"Sweated work, weak bodies: anti-sweatshop campaigns and languages of labor",https://www.fulcrum.org/concern/monographs/3x816n28k,117,2004
"Sweatshops and the search for solutions, yesterday and today",N/A,25,2017
Global cities and global classes: The peripheralization of labor in New York City,https://www.researchgate.net/profile/Robert-Ross-19/publication/301326378_Global_Cities_and_Global_Classes_The_Peripheralization_of_Labor_in_New_York_City/links/576af67108aefcf135bd5166/Global-Cities-and-Global-Classes-The-Peripheralization-of-Labor-in-New-York-City.pdf,103,1983
A new economics of child labor: Searching for answers behind the headlines,N/A,92,2000
"Children in South Africa are engaged in child labor, including in agriculture and domestic work.(1-5) Table 1 provides key indicators on children's work and …",https://www.dol.gov/sites/dolgov/files/ILAB/child_labor_reports/tda2014/southafrica.pdf,0,NA
Labor justice in global manufacturing: New actors for revitalizing industrial relations,N/A,5,2017
Corporate Responsibility and US Import Regulations against Forced Labor,https://digitalcommons.law.utulsa.edu/cgi/viewcontent.cgi?article=1049&context=tjcil,8,2000
Football Manufacturing Industry Sialkot,https://www.researchgate.net/profile/Hadi-Khan/publication/353751636_The_Dilemma_of_Child_Labour_A_Case_of_Pakistan_Football_Manufacturing_Industry_Sialkot/links/610e31d50c2bfa282a2b2d1c/The-Dilemma-of-Child-Labour-A-Case-of-Pakistan-Football-Manufacturing-Industry-Sialkot.pdf,0,NA
"Sweatshops Here and There: The Garment Industry, Latinas, and Labor Migrations",https://library.fes.de/libalt/journals/swetsfulltext/14541283.pdf,29,2002
Some (Don't) Like It Hot: The Use of the Hot Goods Injunction in Perishable Agriculture,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=2490138,13,2014
An aspect of informalisation of women's work in a high-tech age: Turkish sweatshops in The Netherlands,https://elibrary.wellspringuniversity.edu.ng/Resources/Ebooks/(Artificial%20Intelligence%20and%20Society)%20Swasti%20Mitter%20(auth.).pdf#page=127,14,1992
Shopping with a social conscience: Consumer attitudes toward sweatshop labor,N/A,110,2006
Sweatshop regimes in the Indian garment industry,N/A,29,2017
"From manufacturing clothes to manufacturing babies: Economic precarity and labor options among surrogate mothers in Bangalore, India",N/A,1,2016
"The significance of the informal sector in attracting illegal migration including trafficking in human beings: exchange of information, experience and best …",https://www.osce.org/files/f/documents/7/0/14854.pdf,9,2005
"Defending Sweatshops: Too Much Logic, Too Little Evidence",N/A,7,2005
Coffee production effects on child labor and schooling in rural Brazil,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=625345,330,2007
Reebok and the global footwear sweatshop,N/A,26,2003
An explorative analysis of social washing in construction companies,N/A,0,2022
Understanding the manufacturing plant of Foxconn: Global visions and local practices in the labor regime of China,https://www.researchgate.net/profile/Bin-Jiang-14/publication/349430171_Understanding_the_Manufacturing_Plant_of_Foxconn_Global_Visions_and_Local_Practices_in_the_Labor_Regime_of_China/links/603638a292851c4ed591849b/Understanding-the-Manufacturing-Plant-of-Foxconn-Global-Visions-and-Local-Practices-in-the-Labor-Regime-of-China.pdf,3,2021
Shaming the corporation: The social production of targets and the anti-sweatshop movement,N/A,380,2014
More than just play: Unmasking Black child labor in the athletic industrial complex,N/A,26,2018
"Justice, culture, and corporate image: The swoosh, the sweatshops, and the sway of public opinion",N/A,54,2017
Consumer complicity and labor exploitation,https://hrcak.srce.hr/file/265471,4,2016
Child labor and exploitation.,N/A,12,1999
Putting Out the Fuel to the Fire: Deterring Cor-porations From Subcontracting Manufacturing to Sweatshops Abroad,N/A,0,NA
Where sweatshops are a dream,N/A,86,NA
Feeding a rich nation: Modern slavery reporting in UK agriculture,N/A,1,2021
… The Interconnectedness Between Demand for Cheap Products by Consumers in Developed Countries and The Continuous Rise in Sweatshops in The Global …,https://www.researchgate.net/profile/Farah-Hayat-2/publication/385045743_A_Critical_Analysis_of_The_Interconnectedness_Between_Demand_for_Cheap_Products_by_Consumers_in_Developed_Countries_and_The_Continuous_Rise_in_Sweatshops_in_The_Global_South/links/6712a8e7069cb92a811b55c3/A-Critical-Analysis-of-The-Interconnectedness-Between-Demand-for-Cheap-Products-by-Consumers-in-Developed-Countries-and-The-Continuous-Rise-in-Sweatshops-in-The-Global-South.pdf,0,NA
"An Analysis on the Worst Form of Child Workers as the Result of Brick Manufacturing in Khejuri CD-Blocks of Purba Medinipur District, West Bengal",https://www.academia.edu/download/80687485/N0203388101.pdf,1,2015
The informal economy: Between new developments and old regulations,https://openyls.law.yale.edu/bitstream/handle/20.500.13051/8845/74_103YaleLJ2289_June1994_.pdf?sequence=2,387,1993
Sex slaves and discourse masters: The construction of trafficking,N/A,1,2011
"Working Children in Agriculture in Haiti, Sud Department",https://ecommons.cornell.edu/bitstream/1813/79445/1/ILAB_Working_children_in_agriculture_in_Haiti.pdf,0,2012
Appropriations for the abolitionists: Undermining effects of the US mandatory anti-prostitution pledge in the fight against human trafficking and HIV/AIDS,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=1478667,75,2006
Current trends in state child labor legislation and enforcement,N/A,15,1993
"Debt Bondage of Agriculture Workers in the Wake of Floods, 2011 Sindh",N/A,3,NA
"Establishing Government Accountability in the Anti-Sweat Shop Campaign: Toward a Logical, Activist Approach to Improving the Working Conditions of the Poor",https://www.researchgate.net/profile/Ellennita-Hellmer/publication/253341361_ESTABLISHING_GOVERNMENT_ACCOUNTABILITY_IN_THE_ANTI-SWEATSHOP_CAMPAIGN_TOWARD_A_LOGICAL_ACTIVIST_APPROACH_TO_IMPROVING_THE_WORKING_CONDITIONS_OF_THE_POOR/links/0f31753b2e663d205e000000/ESTABLISHING-GOVERNMENT-ACCOUNTABILITY-IN-THE-ANTI-SWEATSHOP-CAMPAIGN-TOWARD-A-LOGICAL-ACTIVIST-APPROACH-TO-IMPROVING-THE-WORKING-CONDITIONS-OF-THE-POOR.pdf,4,2005
"Building Sustainability in All Endeavors, From Ethical Construction to This Publication",N/A,0,NA
Retail profitability and sweatshops: a global dilemma,N/A,109,2002
Post-War Improvements for Children Working in Commercialized Agriculture,N/A,0,2004
Forced labor: coercion and exploitation in the private economy,N/A,90,2009
Fashion victim: the impact of fair trade concerns on clothing choice,https://www.academia.edu/download/85787599/0965254060095642620220510-1-1czleez.pdf,381,2006
"Child Labor Involvement among Food Crop Farmers in Yewa North Local Government Area, Ogun State",https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=3663029,0,2018
"part of the"" Globalization and Child Labor"" Project",https://globaljusticecenter.org/sites/default/files/pdfs/north1_0.pdf,0,NA
Child labor: A review,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=620526,246,1995
In praise of the maligned sweatshop,N/A,22,NA
14 From manufacturing clothes to manufacturing babies,N/A,0,2016
Estimating Penalties for Violating the Minimum Wage and Hiring Illegal Immigrants: The Case of the US Apparel Manufacturing Industry,https://vtechworks.lib.vt.edu/bitstreams/39cfa8b1-1268-4ad8-81c8-b88e1a978a13/download,0,2006
"Potato Capital: Agriculture, Labor, and the (Un) Making of Hastings",N/A,0,2020
Impact on Income Farmer Debt Bondage System Cengkeh (Case Study in Liwutung Village Pasan District Southeast Minahasa Regency),https://www.academia.edu/download/52381311/24_Impact_on_Income_Farmer_Debt_Bondage_System.pdf,1,NA
"Women, children, and industrialization in the early republic: Evidence from the manufacturing censuses",https://www.nber.org/system/files/working_papers/w0795/w0795.pdf,343,1982
The Problem of Child Labor in US Agriculture,N/A,0,NA
"Mattel, Inc., Global Manufacturing Principles (GMP): A Life-Cycle Analysis of a Company's Voluntary Code of Conduct",N/A,1,2011
"Trade openness, foreign direct investment and child labor",https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=482649,309,2005
Recalibration isn't enough: post-earthquake developments in Haiti's export manufacturing sector,N/A,0,2017
""" Ethical Issues in Manufacturing Labor: Research Proposals for the Philippines",https://www.academia.edu/download/43223349/Ethical_Issues_in_Manufacturing_Labor_Re20160229-14118-18h9yzb.pdf,0,NA
"Immigration, culture, and child labor in the united states, 1880–1920",N/A,47,2004
"Analysis of Effect of Agriculture Trade Liberalisation on Child Labour Supply, Factor Prices and Output Composition in a Small Open Perfectly Competitive Economy …",N/A,0,2018
"Backshoring, local sweatshop regimes and CSR in India",https://www.academia.edu/download/36995210/MezzadriSweatshop_regimes_clean_final_APRIL_4th.pdf,73,2014
Sustainable Consumption and Social Justice: Should Countries Take Action to Ban the Sale of Products Made under Sweatshop Conditions?,N/A,0,2024
Domestic Vs. Offshore Manufacturing,N/A,0,2021
Bangladesh border vicinity for human trafficking: An Indian viewpoint,https://www.researchgate.net/profile/Awkash-Kumar-4/publication/315334697_Bangladesh_Border_Vicinity_for_Human_Trafficking_An_Indian_Viewpoint/links/58ccde83aca272335513d400/Bangladesh-Border-Vicinity-for-Human-Trafficking-An-Indian-Viewpoint.pdf,3,2016
"Sweet Tyranny: Migrant Labor, Industrial Agriculture, and Imperial Politics by Kathleen Mapes",N/A,0,2012
Production beyond the horizon of consumption: spatial fixes and anti-sweatshop struggles in the global athletic footwear industry,N/A,45,2011
Addressing modern slavery in the IB classroom: Are we doing enough?,N/A,7,2020
Unmaking the Global Sweatshop,https://scholarworks.wmich.edu/cgi/viewcontent.cgi?article=4249&context=jssw,0,2018
Measuring labor trafficking: a research note,N/A,162,2012
Teaching Social Justice through Three Time Periods of Sweatshop History,https://koreascience.kr/article/JAKO201521052964304.pdf,3,2015
History repeats itself: child labor in Latin America,N/A,33,2006
Knowledge of preparatory students working in Agriculture about work hazards,https://journals.ekb.eg/article_74462_f8bca29c2455b0594e091d615b5fdb8c.pdf,0,2013
Children in agriculture,https://www.academia.edu/download/84838410/118-130.pdf,2,2006
"Sweatshops, Opportunity Costs, and Non‐Monetary Compensation: Evidence from El Salvador1",https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1536-7150.2012.00827.x,18,2012
The Recurring Nightmare of Child Labor Abuse--Causes and Solutions for the 90s,https://core.ac.uk/download/pdf/71463190.pdf,32,1995
Modern slavery and the discursive construction of a propertied freedom,N/A,0,NA
"Neither mothers nor breadwinners: African-American women's exclusion from US minimum wage policies, 1912-1938",https://www.researchgate.net/profile/Deb-Figart/publication/24081240_Neither_Mothers_Nor_Breadwinners_African-American_Women%27s_Exclusion_From_US_Minimum_Wage_Policies_1912-1938/links/5e668a53299bf1744f6d3ffd/Neither-Mothers-Nor-Breadwinners-African-American-Womens-Exclusion-From-US-Minimum-Wage-Policies-1912-1938.pdf,33,2002
The apparel industry response to “sweatshop” concerns: A review and analysis of codes of conduct,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1745-493X.1999.tb00062.x,426,1999
The effect of corporate social responsibility on customer donations to corporate-supported nonprofits,N/A,2535,2004
The origins of the sweatshop: women and early industrialization in New York City,N/A,52,NA
Issues and Challenges of Underage Workforce in an Indian Agriculture: A Policy Perspective,N/A,0,NA
Sweatshop subjectivity and the politics of definition and exhibition,https://library.fes.de/libalt/journals/swetsfulltext/14541281.pdf,24,2002
CHILDREN'S ECONOMIC ACTIVITIES IN AGRICULTURE IN TURKEY,https://www.academia.edu/download/52951406/sosyal_yardimlasma_1441-1456.pdf#page=465,0,NA
Corporate social responsibility in the supply chain: an application in the food industry,https://www.academia.edu/download/82150540/25123894.pdf,1521,2006
"RAMACHANDRAN,"" Wage Labour and Unfreedom in Agriculture: An Indian Case Study""(Book Review)",N/A,0,1992
"AGOA, Lesotho''Clothing Miracle'& the Politics of Sweatshops",https://www.scienceopen.com/document_file/952436b7-4e95-4498-a61f-c30446703a97/ScienceOpen/03056244.2003.9693503.pdf,57,2003
Child labor and household wealth: Theory and empirical evidence of an inverted-U,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=966160,345,2010
"Rethinking the Sweatshop: A Conversation About United Students Against Sweatshops (USAS) with Charles Eaton, Marion Traub-Werner, and Evelyn Zepeda",https://library.fes.de/libalt/journals/swetsfulltext/14541286.pdf,22,2002
"Movements, markets and fields: The effects of anti-sweatshop campaigns on US firms, 1993-2000",https://economicsociology.org/wp-content/uploads/2014/02/movements-markets-and-fields-the-effects-of-anti-sweatshop-campaigns-on-us-firms-1993-2000.pdf,229,2011
The Migratory Worker in American Agriculture,N/A,0,1961
Construction Laborer Crushed by Unattended Rolling Street Sweeper at Asphalt Plant in Massachusetts,https://www.cdc.gov/NIOSH/face/stateface/ma/96ma031.html,0,NA
Human trafficking: A call for counselor awareness and action,https://onlinelibrary.wiley.com/doi/pdf/10.1002/j.2161-1939.2009.tb00066.x,84,2009
The Failings of Foreign Aid and Our Obligation to Consume,https://scholarworks.uno.edu/cgi/viewcontent.cgi?article=1069&context=honors_theses,0,2015
Child Labor inAgriculture. Agriculture. ERIC Digest.,N/A,0,NA
Stamping out slavery,N/A,0,2018
SWEATSHOP WATCH,https://ecommons.cornell.edu/server/api/core/bitstreams/c2f56971-8555-4a31-8895-333ccba458a4/content,1,2003
"Inequality, accountability and responsibility in UK Press reporting on corporate fraud (2004–14) and modern slavery (2000–16)",N/A,1,2020
7. Volvo Components: From Sweatshop to Playground,N/A,0,2016
Uzbekistan: Innovations for Agriculture Modernization,N/A,0,2013
"… Harvest: Mexican Workers, Growers, and the Sugar Beet Industry, by Jim Norris; Sweet Tyranny: Migrant Labor, Industrial Agriculture, and Imperial Politics …",N/A,0,2010
"Monitoring Sweatshops: Workers, Consumers, and the Global Apparel Industry",N/A,4,2006
Modern slavery: risks for the UK hospitality industry,https://www.goodfellowpublishers.com/free_files/filePiRT5(1).pdf#page=69,30,2016
The impact of child labor in agriculture on health,N/A,0,NA
TWO CASES OF GARMENT SWEATSHOPS IN ISTANBUL: FAMILIALISM AND ETHNICITY IN THE SWEATSHOP,https://www.etd.ceu.edu/2008/arioglu_meltem.pdf,0,2008
Impact of Economic Globalization on Agriculture in Asian Developing Countries,https://www.researchgate.net/profile/Budi-Setiawan-19/publication/369553391_The_Relationship_Between_Business_and_Politics_A_Study_of_Rent-Seeking_in_Indonesia/links/6421e47aa1b72772e42f703a/The-Relationship-Between-Business-and-Politics-A-Study-of-Rent-Seeking-in-Indonesia.pdf#page=233,0,2022
Paving the path toward the unionization of high-tech sweatshops,https://www.academia.edu/download/3238988/MORE_THAN_BANANAS_SOCIAL_RESPONSIBILITY_NETWORKS_AND_LABOUR_RELATIONS_IN_THE_BANANA_INDUSTRY_IN_THE_URABA_REGION_OF_...pdf#page=71,10,2007
"Child Labor, Learning Problems, and Poverty.",https://files.eric.ed.gov/fulltext/ED580822.pdf,6,2017
Child labor in America: A history,N/A,37,2013
Forced labor: A Thirteenth Amendment defense of abortion,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=2669824,300,1989
Modern Slavery: A Beginner's Guide,N/A,44,2011
"Fashioning social justice through political consumerism, capitalism, and the internet",http://digitalmediafys.pbworks.com/w/file/fetch/68453563/SocialJusticeConsummerismCjamming.pdf,219,2008
Were compulsory attendance and child labor laws effective? An analysis from 1915 to 1939,https://www.nber.org/system/files/working_papers/w8563/w8563.pdf,394,2002
The impact of ethical fashion on consumer purchase behavior,N/A,449,2012
Child labor in America: The epic legal struggle to protect children,N/A,16,2018
Modern Slavery in Construction Projects,N/A,0,2023
A LOOK AT ETHICS OF OUTSOURCING IN GLOBAL MANUFACTURING COMPANY,N/A,0,NA
Too cheap work for anybody but us: Toward a theory and practice of good child labor,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=1929543,23,2003
How do migrant workers respond to labour abuses in “local sweatshops”?,https://onlinelibrary.wiley.com/doi/pdf/10.1111/anti.12250,31,2017
Sweatshop warriors: Immigrant women workers take on the global factory,N/A,354,2001
Nike to the rescue,N/A,3,NA
"Strategic public relations, sweatshops, and the making of a global movement",https://dash.harvard.edu/bitstream/handle/1/37375429/2000_14.pdf?sequence=1,58,2000
Do Bangladeshi factory workers need saving? Sisterhood in the post-sweatshop era,https://www.researchgate.net/profile/Dina-Siddiqi/publication/233528079_Do_Bangladeshi_Factory_Workers_Need_Saving_Sisterhood_in_the_Post-Sweatshop_Era/links/570d69cd08ae2b772e432179/Do-Bangladeshi-Factory-Workers-Need-Saving-Sisterhood-in-the-Post-Sweatshop-Era.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail&_rtd=e30%3D,140,2009
Why don't consumers behave ethically?: the social construction of consumption,https://www.researchgate.net/profile/Russell-Belk-3/publication/235360945_Why_don't_consumers_behave_ethically_The_social_construction_of_consumption/links/0f31753203fe419f49000000/Why-dont-consumers-behave-ethically-The-social-construction-of-consumption.pdf,11,2006
Child Labor in Agriculture and Farm Life in the Arkansas Valley of Colorado,N/A,0,1930
Child labor and agricultural shocks,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=aed6842020be7fec4d8f3c7471517b95f5eb23a7,735,2006
Child labor in transition in Vietnam,https://books.google.com/books?hl=en&lr=&id=2H5Lz0QYpi4C&oi=fnd&dq=Construction+OR+Manufacturing+OR+agriculture+AND+(%22modern+slavery%22+OR+%22forced+labor%22+OR+%22labor+exploitation%22+OR+sweatshop+OR+%22compulsory+labor%22+OR+%22unfree+labor%22+OR+%22debt+bondage%22+OR+%22child+labor%22)&ots=n2ShWgFCkf&sig=VF33YHN1Jb_0TsMacs3VDR6QALw,209,2002
INTERNATIONAL CO-OPERATION ON LABOR PROBLEMS IN AGRICULTURE: THE FIRST MEETING OF THE PERMANENT AGRICULTURAL COMMITTEE OF THE …,N/A,0,1938
President's Commission on Migratory Labor: Migratory Labor in American Agriculture Edited by Charles E. Lively (Book Review),N/A,0,1952
Sustainable procurement and modern slavery risks in development and construction: a case study in Australia,N/A,0,2022
The Sweatshop and beyond: Authority relations in domestic private enterprises,N/A,7,2014
Child labor and schooling in Ghana,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=620598,513,1997
Child Labour Laws and the End of Child Labour in the US: Evidence from American Manufacturing Censuses (1900-1920),N/A,1,NA
Manufacturing Production Companies Can Gain Strategic Global Advantage Using Lean Six Sigma,N/A,1,2015
"Economic growth, structural change and decline of child labour in agriculture: A theoretical perspective",N/A,4,2020
Child trafficking: The construction of a social problem,https://www.intechopen.com/chapters/70093,2,2019
Labor standards in the global economy: Issues for investors,N/A,85,2003
Rural child labor in a village in Fayoum Governorate,https://journals.ekb.eg/article_311914_56375d4d17f96bf86f800eea2273aaf3.pdf,0,2023
"Mattel, Inc.: global manufacturing principles (GMP)–a life-cycle analysis of a company-based code of conduct in the toy industry",https://www.researchgate.net/profile/Emre-Veral/publication/304653102_Mattel_Inc_Global_Manufacturing_Principles_GMP_A_Life-Cycle_Analysis_of_a_Company's_Voluntary_Code_of_Conduct/links/586520c308ae329d62045536/Mattel-Inc-Global-Manufacturing-Principles-GMP-A-Life-Cycle-Analysis-of-a-Companys-Voluntary-Code-of-Conduct.pdf,71,2011
Big brother and the sweatshop: Computer surveillance in the automated office,N/A,191,1987
More sweatshops for Africa? A randomized trial of industrial jobs and self-employment,N/A,7,2015
"Hazards, negligence, and abuse in the apparel manufacturing industry: Labor conditions from 1910-2015",https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=kent1461505241&disposition=inline,7,2016
Using International Law to Fight Child Labor: A Case Study of Guatemala and the Inter-American System,https://digitalcommons.wcl.american.edu/cgi/viewcontent.cgi?article=1370&context=auilr,45,1997
"Exploitation and the Sweatshop Quandary-ExploitationAlan Wertheimer Princeton, NJ: Princeton University Press, 1996 (pbk. 1999)-The Sweatshop Quandary …",N/A,47,2003
A four-year analysis of labor trafficking cases in the United States: Exploring characteristics and labor trafficking patterns,N/A,45,2021
Before their time: The world of child labor,http://www.ecasd.us/ECASD/media/South-Middle-School/Child-Labor-Book-List.pdf,13,2007
Could child labor be eradicated in commercial agriculture in Zamora?,N/A,0,2009
Making sweatshops: The globalization of the US apparel industry,N/A,398,2002
The trade effects of information provision about forced and child labor,https://www.sciencedirect.com/science/article/pii/S0305750X23000359,4,2023
"Beyond Sweatshops: Employment, Labor Market Security and Global Inequality.",https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1467-8330.2004.00403.x,16,2004
Globalization and Worker Organization in New York City's Garment Industry,N/A,7,2013
Monopsony capitalism: Power and production in the twilight of the sweatshop age,N/A,118,2020
"Family structure, parental perceptions, and child labor in Kenya: What factors determine who is enrolled in school?",N/A,464,2000
How Asia's clothing factories switched to making PPE–But sweatshop problems live on,https://eprints.soas.ac.uk/33160/1/How%20Asia%27s%20clothing%20factories%20switched%20to%20making%20PPE%20%E2%80%93%20but%20sweatshop%20problems%20live%20on.pdf,14,2020
Women and immigrants in the sweatshop: Categories of labor segmentation revisited,N/A,55,1996
No sweat? Corporate social responsibility and the dilemma of anti-sweatshop activism,N/A,21,2008
"Planning in Chinese Agriculture: Socialisation and the Private Sector, 1956-1962",N/A,0,1966
Worker rights and low wage industrialization: How to avoid sweatshops,https://www.researchgate.net/profile/Laura-Hartman-8/publication/236749240_Worker_Rights_and_Low_Wage_Industrialization_How_to_Avoid_Sweatshops/links/004635328e725654bd000000/Worker-Rights-and-Low-Wage-Industrialization-How-to-Avoid-Sweatshops.pdf,112,2006
Different shades of minimalism: The multilateral construction of labour clauses in the UK-Australia and UK-New Zealand FTAs,https://www.tandfonline.com/doi/pdf/10.1080/09615768.2023.2199467,2,2023
The US Economic Agenda A Sweatshop Model of Development,N/A,16,1994
"Sweat, fire and ethics: the sweatshop is back. Bob Jeffcott argues that citizenship is more likely to get rid of it than shopping",N/A,7,2007
Modern slavery and the supply chain: the limits of corporate social responsibility?,https://www.academia.edu/download/57044263/REVISED_MSSCaproofed1format.pdf,291,2015
"Codes of Fair Competition: The National Recovery Act, 1933-1935, and the Women's Dress Manufacturing Industry",https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=c9eb00260eee315826eb306269d70f6b6301aed0,5,2010
Child labor in India-should It be legalized?,http://archives.kdischool.ac.kr/bitstream/11125/30374/1/Child%20labor%20in%20India%20-%20should%20It%20be%20legalized%3F.pdf,0,2012
Freedom denied: Forced labor in California,https://escholarship.org/content/qt1q46h64w/qt1q46h64w.pdf,11,2005
Professor Candido HIST 30060 12 May 2017 A Straight Red Card: Qatar's Abuse of Migrant Workers in the 2022 World Cup Stadia Construction,https://www.researchgate.net/profile/Jacquelyn-Aguirre/publication/339445871_A_Straight_Red_Card_Qatar%27s_Abuse_of_Migrant_Workers_in_the_2022_World_Cup_Stadia_Construction/links/5e533f44299bf1cdb945656f/A-Straight-Red-Card-Qatars-Abuse-of-Migrant-Workers-in-the-2022-World-Cup-Stadia-Construction,0,2017
Slaves to Fashion: A Thirteenth Amendment Litigation Strategy to Abolish Sweatshops in the Garment Industry,https://digital.sandiego.edu/cgi/viewcontent.cgi?article=3255&context=sdlr,40,1999
"School attendance, child labor and local labor market fluctuations in urban Brazil",https://www.academia.edu/download/66997884/s0305-750x_2803_2900065-220210504-30074-t4ud9h.pdf,315,2003
Apparel manufacturer and retailer efforts to reduce child labor: An ethics of virtue perspective on codes of conduct,N/A,18,2002
Agents of Reform: Child Labor and the Origins of the Welfare State,N/A,10,2021
Baby Steps toward Internationsl Fair Labor Standards: Evaluating the Child Labor Deterrence Act,https://scholarlycommons.law.case.edu/cgi/viewcontent.cgi?article=1659&context=jil,23,1992
Ethical consumerism and apparel industry-towards a new factor model,https://ro.uow.edu.au/cgi/viewcontent.cgi?article=1796&context=dubaipapers,19,2016
Modern Slavery Within Hong Kong's Private Sector,https://dspace.library.uvic.ca/bitstreams/bd385bf1-3c45-4b3e-a68f-ce4b25c4e3ca/download,0,2018
What about the children?,N/A,24,1998
Child labor today: A human rights issue,N/A,5,2008
"Between a rock and a hard place: A history of American sweatshops, 1820-present",N/A,5,1999
The smuggling–trafficking nexus and the myths surrounding human trafficking,N/A,23,2009
An information system for assessing the likelihood of child labor in supplier locations leveraging Bayesian networks and text mining,https://link.springer.com/content/pdf/10.1007/s10257-018-0368-0.pdf,17,2018
"Child labor, education, and children's rights",https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=1ce8b25e592f780922018c235bd72a46a5f349f3,78,2004
"Sweet Tyranny: Migrant Labor, Industrial Agriculture, and Imperial Politics by Kathleen Mapes",N/A,0,2009
"Sweatshops, choice, and exploitation",https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=901689,352,2007
International Child Labor Regulation 101: What Corporations Need to Know About Treaties Pertaining to Working Youth,N/A,10,2008
The exploitation of child labor: An intractable international problem,https://digitalcommons.lmu.edu/cgi/viewcontent.cgi?article=1335&context=ilr,25,1993
Apparel sweatshops at home and abroad: Global and ethical issues,N/A,20,2003
Cocoa Traceability and Certification,N/A,0,2012
Queer with Class: Absence of Third World Sweatshop in Lesbian/Gay Discourse and a Rearticulation of Malerialist Queer Theory,http://cjc-rcc.ucalgary.ca/index.php/ariel/article/view/34241/28279,24,1999
Cross-National Studies of Production and Protest,N/A,1,2008
The network contract: an instrument to contrast labour exploitation in agriculture. The Italian case,https://iris.unito.it/bitstream/2318/1827601/1/13566-Article%20Text-52952-1-10-20211221.pdf,3,2021
"From"" bean to bar"": the role of chocolate manufacturing companies and voluntary sustainability standards",https://open.library.ubc.ca/media/download/pdf/24/1.0435230/4,0,2023
Understanding sibling differences in child labor,https://sites.dartmouth.edu/eedmonds/files/2020/09/sibcomp.pdf,242,2006
The Plantationocene: A lusotropical contribution to the theory,https://www.tandfonline.com/doi/pdf/10.1080/24694452.2020.1850231,214,2021
Can we put an end to sweatshops?,N/A,292,2001
"The competitive edge: Research priorities for US manufacturing: National Research Council, National Academy Press, Washington DC, 1991, 172 pages",N/A,1,1993
Researching the Neoliberal Underclass—Burmese Workers in Thailand,https://www.academia.edu/download/50994221/Researching_the_Neoliberal_Underclass_Burmese_Workers_in_Thailand.pdf,5,2012
"Workers' Power in Global Value Chains: Fighting Sweatshop Practices at Russell, Nike and Knights Apparel",N/A,42,2013
"An analytical study of child labour in the agriculture sector of the rural areas of central Punjab, Pakistan",https://dl.nsf.gov.lk/bitstream/handle/1/25162/SLJSS_43_1_21.pdf?sequence=2,16,2020
Bringing sweatshops into the museum,N/A,6,2013
"Tuesday, October 23, 2001-4: 45 PM Abstract# 25648 Are Teen Construction Workers Informed About Child Labor Laws in North Carolina?",N/A,0,2001
… LABOR ORGANIZATION TO COMBAT CHILD LABOR IN COCOA PLANTATION IN IVORY COAST THROUGH THE WEST AFRICA COCOA AGRICULTURE …,N/A,0,2019
Exploited: The Unexpected Victims of Animal Agriculture,https://lawcommons.lclark.edu/cgi/viewcontent.cgi?article=1331&context=alr,0,2024
"No justice, no contract: The Worker Rights Consortium leads the fight against sweatshops",https://www.workersrights.org/wp-content/uploads/2016/02/Amer_Pros_6-29-01.pdf,10,2001
"Child labor: cause, consequence, and cure, with remarks on international labor standards",https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=604927,1828,1999
Art Exhibition Expands the Construction of “American Workers” in the Popular Imagination,https://thesociologistdc.com/all-issues/art-exhibition-expands-the-construction-of-american-workers-in-the-popular-imagination/,0,NA
Bad business: a commentary on the criminology of organized crime in the United States,N/A,11,2004
SweatX closes up shop,N/A,5,NA
